community_id,tool_id,amount_of_bugs_reported,amount_of_bugs_solved,amount_of_changes_commited,amount_of_discussions
1,1946,173,167,1692,
1,1947,36,9,90,
1,1948,12,12,204,
1,1949,23,23,297,
1,1950,77,50,264,
1,1951,36,35,621,
1,1952,4,4,170,
1,1953,26,16,1803,
1,1954,11042,9014,37015,
1,1955,1,0,29,
1,1956,2,1,57,
1,1957,104,94,502,
1,1958,224,194,744,
1,1959,13,11,700,
1,1960,55,52,858,
1,1961,29,27,265,
1,1962,254,163,277,
1,1963,69,13,59,
1,1964,28,3,7,
1,1965,1,1,51,
1,1966,8,3,26,
1,1967,55,38,321,
1,1968,263,193,918,
1,1969,46,43,2123,
1,1970,518,362,1750,
1,1971,83,77,1631,
1,1972,6,2,164,
1,1973,2,1,165,
1,1974,3,2,20,
1,1975,326,326,334,
1,1976,64,61,1087,
1,1977,671,663,7620,
1,1978,48,35,115,
1,1979,115,85,892,
1,1980,24,24,595,
1,1981,81,61,747,
1,1982,5,5,1078,
1,1983,1,1,55,
1,1984,390,301,407,
1,1985,8,6,203,
1,1986,26,10,86,
1,1987,159,153,581,
1,1988,16,14,40,
1,1989,8,7,148,
1,1990,2,2,148,
1,1991,5,5,242,
1,1992,436,226,2806,
1,1993,86,83,316,
1,1994,20,20,37,
1,1995,2195,1989,37203,
1,1996,25,17,504,
1,1997,4284,3586,39339,
1,1998,295,229,915,
1,1999,8,8,379,
1,2000,14,14,251,
1,2001,25,13,104,
1,2002,21,9,193,
1,2003,109,98,1317,
1,2004,24,13,37,
1,2005,29,16,134,
1,2006,5,4,322,
1,2007,21,16,388,
1,2008,685,678,2920,
1,2009,6,4,449,
1,2010,93,89,1094,
1,2011,484,463,15140,
1,2012,3,2,31,
1,2013,146,111,2990,
1,2014,1,1,159,
1,2015,208,172,440,
1,2016,1,1,1844,
1,2017,14,5,317,
1,2018,60,57,851,
1,2019,21,21,207,
1,2020,60,44,282,
1,2021,772,686,941,
1,2022,18,12,188,
1,2023,68,43,168,
1,2024,419,398,2106,
1,2025,,,151,
1,2026,14,2,2833,
1,2027,158,119,489,
1,2028,11,9,74,
1,2029,4,2,35,
1,2030,50,33,345,
1,2031,36,33,1192,
1,2032,11,11,46,
1,2033,103,103,22,
1,2034,7,6,113,
1,2035,1,0,40,
1,2036,21,7,128,
1,2037,0,0,34,
1,2038,69,66,1824,
1,2039,22,16,1562,
1,2040,32,15,136,
1,2041,114,88,3399,
1,2042,1,0,82,
1,2043,17,10,18942,
1,2044,16,16,409,
1,2045,20,12,381,
1,2046,48,0,83,
1,2047,2,2,236,
1,2048,172,157,863,
1,2049,5,3,96,
1,2050,104,97,733,
1,2051,80,68,1192,
1,2052,40,38,4658,
1,2053,102,101,228,
1,2054,15,13,369,
1,2055,2,1,160,
1,2056,10,4,58,
1,2057,2,0,2,
1,2058,58,49,398,
1,2059,42,36,71,
1,2060,6,6,44,
1,2061,915,898,54,
1,2062,9,6,182,
1,2063,11,10,246,
1,2064,117,116,118,
1,2065,30,25,77,
1,2066,118,106,333,
1,2067,135,89,1275,
1,2068,148,141,341,
1,2069,148,141,341,
1,2070,196,176,829,
1,2071,191,129,1313,
1,2072,2,2,11,
1,2073,675,550,2996,
1,2074,8,4,183,
1,2075,4,4,1867,
1,2076,91,83,1656,
1,2077,78,54,5572,
1,2078,6,6,53,
1,2079,1,1,191,
1,2080,3,3,502,
1,2081,13,9,112,
1,2082,4,2,72,
1,2083,20,18,102,
1,2084,42,34,44,
1,2085,3,3,41,
1,2086,7,6,268,
1,2087,123,104,318,
1,2088,290,189,927,
1,2089,252,202,1066,
1,2090,7651,7459,17040,
1,2091,77,56,727,
1,2092,87,71,1176,
1,2093,1027,846,1051,
1,2094,12339,9969,17012,
1,2095,4246,4215,10109,
1,2096,10611,8782,63468,
1,2097,839,686,1774,
1,2098,2611,2587,9664,
1,2099,80,74,1811,
1,2100,210,205,1219,
1,2101,3418,2426,4106,
1,2102,8820,8747,34552,
1,2103,89,83,1471,
1,2104,730,456,1310,
1,2105,800,711,923,
1,2106,534,502,3395,
1,2107,7093,4260,6147,
1,2108,732,400,1566,
1,2109,3951,3524,3109,
1,2110,4960,4571,4147,
1,2111,54,54,5992,
1,2112,961,585,1206,
1,2113,797,676,3537,
1,2114,13,10,299,
1,2115,42,27,639,
1,2116,270,143,1773,
1,2117,14,8,296,
1,2118,854,702,2633,
1,2119,686,665,10086,
1,2120,394,310,523,
1,2121,567,384,1215,
1,2122,2110,1706,7639,
1,2123,437,391,2845,
1,2124,737,519,1817,
1,2125,255,217,12201,
1,2126,1109,629,4210,
1,2127,11,7,329,
1,2128,1181,719,1710,
1,2129,2142,2125,2914,
1,2130,8965,8840,36853,
1,2131,600,506,8771,
1,2132,824,731,333,
1,2133,1050,836,1691,
1,2134,15,5,176,
1,2135,456,372,433,
1,2136,3258,3147,3149,
1,2137,2486,2206,10484,
1,2138,79,65,1556,
1,2139,23,20,664,
1,2140,3692,3266,32987,
1,2141,1954,1366,2264,
1,2142,589,400,2967,
1,2143,9,6,63,
1,2144,661,589,2828,
1,2145,1635,1122,3035,
1,2146,307,250,1682,
1,2147,471,465,1465,
1,2148,16,14,371,
1,2149,921,921,1336,
1,2150,218,197,1130,
1,2151,1595,1494,15691,
1,2152,2034,1955,2755,
1,2153,1567,1050,21757,
1,2154,232,220,434,
1,2155,447,298,735,
1,2156,75,66,72,
1,2157,53,52,1370,
1,2158,824,824,1198,
1,2159,426,394,523,
1,2160,5058,4468,20161,
1,2161,299,237,1096,
1,2162,161,132,329,
1,2163,6,6,74,
1,2164,59,30,171,
1,2165,931,515,2273,
1,2166,15,14,521,
1,2167,269,154,1340,
1,2168,83,62,772,
1,2169,757,9,321,
1,2170,858,787,5993,
1,2171,1515,1515,15623,
1,2172,528,343,6002,
1,2173,4157,4011,12259,
1,2174,412,376,12152,
1,2175,1155,1019,5437,
1,2176,419,237,1652,
1,2177,332,226,1232,
1,2178,51,49,741,
1,2179,71,69,2355,
1,2180,141,103,1056,
1,2181,1556,1038,12995,
1,2182,11,4,163,
1,2183,55,28,253,
1,2184,198,181,895,
1,2185,1400,1083,2676,
1,2186,330,246,8968,
1,2187,435,353,901,
1,2188,1002,845,5929,
1,2189,2,1,855,
1,2190,938,628,13187,
1,2191,2036,1946,2598,
1,2192,249,226,559,
1,2193,178,159,328,
1,2194,519,439,4687,
1,2195,71,18,256,
1,2196,30,28,274,
1,2197,1133,861,5346,
1,2198,251,137,1684,
1,2199,362,319,3402,
1,2200,2018,1513,3738,
1,2201,4,1,58,
1,2202,124,62,627,
1,2203,701,561,1282,
1,2204,66,43,475,
1,2205,247,222,3000,
1,2206,34,22,480,
1,2207,13,7,161,
1,2208,772,710,2948,
1,2209,241,147,806,
1,2210,89,7,875,
1,2211,2575,2218,11301,
1,2212,1355,1180,2764,
1,2213,87,87,4178,
1,2214,331,306,4967,
1,2215,122,106,279,
1,2216,24,23,128,
1,2217,2368,2222,1791,
1,2218,28,25,195,
1,2219,54,38,295,
1,2220,364,347,2229,
1,2221,6,3,132,
1,2222,317,196,1766,
1,2223,235,190,1250,
1,2224,8,3,105,
1,2225,2904,2799,4945,
1,2226,244,129,1601,
1,2227,339,214,776,
1,2228,4918,4036,26655,
1,2229,105,68,244,
1,2230,16653,16632,81175,
1,2231,486,261,3455,
1,2232,87,0,257,
1,2233,5,1,15792,
1,2234,136,96,555,
1,2235,255,221,1427,
1,2236,136,124,2034,
1,2237,505,445,2849,
1,2238,199,37,228,
1,2239,73,72,169,
1,2240,5,5,112,
1,2241,166,94,674,
1,2242,555,477,785,
1,2243,85,78,175,
1,2244,20,4,44,
1,2245,78,55,635,
1,2246,3,0,23,
1,2247,4,4,686,
1,2248,35,31,233,
1,2249,87,80,574,
1,2250,6235,4926,10242,
1,2251,149,131,218,
1,2252,248,196,3427,
1,2253,149,140,564,
1,2254,165,122,332,
1,2255,328,240,1766,
1,2256,22,15,62,
1,2257,200,167,306,
1,2258,263,200,26311,
1,2259,4,4,263,
1,2260,202,188,397,
1,2261,57,22,1466,
1,2262,46,43,2123,
1,2263,108,56,543,
1,2264,133,128,2726,
1,2265,855,544,3588,
1,2266,4,4,258,
1,2267,45,13,374,
1,2268,96,91,1587,
1,2269,316,282,3910,
1,2270,6454,6165,4311,
1,2271,11853,10152,56450,
1,2272,12173,11505,11896,
1,2273,1303,1063,5126,
1,2274,5081,4807,5405,
1,2275,13669,12322,20253,
1,2276,7645,7311,7113,
1,2277,63,15,1013,
1,2278,2937,2701,3615,
1,2279,746,480,877,
1,2280,210,169,1327,
1,2281,1642,1589,2026,
1,2282,1769,1515,2012,
1,2283,733,698,504,
1,2284,730,456,1310,
1,2285,1823,1455,4424,
1,2286,685,670,3513,
1,2287,1401,1387,2676,
1,2288,1594,1228,6031,
1,2289,7239,6292,10278,
1,2290,378,245,841,
1,2291,2735,2523,2750,
1,2292,5539,4745,15547,
1,2293,827,320,1659,
1,2294,2650,2421,4698,
1,2295,9071,8879,16868,
1,2296,212,179,370,
1,2297,190,125,614,
1,2298,1180,1124,678,
1,2299,509,484,2101,
1,2300,4311,4087,14532,
1,2301,530,479,1958,
1,2302,483,479,2151,
1,2303,913,866,1216,
1,2304,807,750,1164,
1,2305,1974,1935,4393,
1,2306,2094,1714,6246,
1,2307,527,410,2097,
1,2308,589,400,2967,
1,2309,1340,529,326,
1,2310,1066,703,3214,
1,2311,1473,1430,13625,
1,2312,3243,2375,3017,
1,2313,963,886,4105,
1,2314,52,13,181,
1,2315,21,15,135,
1,2316,242,193,352,
1,2317,226,164,235,
1,2318,8,7,311,
1,2319,56,27,196,
1,2320,561,391,1407,
1,2321,426,394,523,
1,2322,388,359,898,
1,2323,314,136,1912,
1,2324,856,608,2377,
1,2325,4,4,80,
1,2326,228,203,1189,
1,2327,157,149,1220,
1,2328,868,595,8419,
1,2329,97,57,383,
1,2330,436,419,1919,
1,2331,3555,3429,7711,
1,2332,167,121,842,
1,2333,261,167,735,
1,2334,3250,1951,58695,
1,2335,817,711,1268,
1,2336,418,345,1685,
1,2337,935,479,3079,
1,2338,911,782,1403,
1,2339,345,231,1244,
1,2340,703,671,6618,
1,2341,244,160,237,
1,2342,1972,1901,4804,
1,2343,330,323,2575,
1,2344,977,542,1626,
1,2345,784,575,3310,
1,2346,2105,1919,2750,
1,2347,837,787,1767,
1,2348,509,474,4629,
1,2349,47,37,149,
1,2350,1232,765,3685,
1,2351,154,126,173,
1,2352,360,317,568,
1,2353,1465,1406,2796,
1,2354,172,148,254,
1,2355,140,82,751,
1,2356,802,562,1109,
1,2357,53,30,424,
1,2358,332,219,314,
1,2359,1294,1151,690,
1,2360,949,737,3079,
1,2361,744,711,2023,
1,2362,1669,1591,686,
1,2363,239,189,988,
1,2364,3,3,47,
1,2365,564,395,996,
1,2366,802,802,4697,
1,2367,507,496,894,
1,2368,563,493,634,
1,2369,674,636,4221,
1,2370,997,933,42,
1,2371,75,38,1132,
1,2372,1500,1243,6324,
1,2373,15,6,57,
1,2374,155,108,322,
1,2375,24,17,89,
1,2376,1393,1245,1911,
1,2377,451,444,941,
1,2378,295,268,1214,
1,2379,91,72,442,
1,2380,358,260,695,
1,2381,640,527,519,
1,2382,709,421,625,
1,2383,2575,2218,11301,
1,2384,312,286,949,
1,2385,52,39,263,
1,2386,196,153,776,
1,2387,32,17,42,
1,2388,346,293,1570,
1,2389,41,29,2023,
1,2390,385,198,496,
1,2391,170,134,532,
1,2392,33,20,344,
1,2393,63,63,5052,
1,2394,374,288,1213,
1,2395,1106,1026,4062,
1,2396,1391,1209,4965,
1,2397,506,389,1239,
1,2398,74,70,874,
1,2399,518,402,1257,
1,2400,82,65,340,
1,2401,488,467,2325,
1,2402,166,156,910,
1,2403,194,186,613,
1,2404,2811,2486,6521,
1,2405,645,613,1970,
1,2406,24,22,282,
1,2407,2,2,311,
1,2408,493,490,1096,
1,2409,248,111,2352,
1,2410,6,3,662,
1,2411,123,108,315,
1,2412,672,652,3710,
1,2413,318,286,3711,
1,2414,339,214,776,
1,2415,221,133,535,
1,2416,98,61,906,
1,2417,322,309,2650,
1,2418,49,23,161,
1,2419,601,465,10209,
1,2420,531,433,871,
1,2421,231,228,4413,
1,2422,25,25,367,
1,2423,106,90,654,
1,2424,19,6,110,
1,2425,678,487,2582,
1,2426,13,13,363,
1,2427,246,143,684,
1,2428,494,417,771,
1,2429,522,490,6724,
1,2430,56,54,1308,
1,2431,282,282,2124,
1,2432,12,3,169,
1,2433,335,294,800,
1,2434,73,35,191,
1,2435,280,266,67,
1,2436,488,291,727,
1,2437,779,693,1978,
1,2438,77,52,124,
1,2439,425,364,3575,
1,2440,537,440,1491,
1,2441,81,50,386,
1,2442,383,330,1456,
1,2443,20,4,44,
1,2444,4,3,69,
1,2445,162,117,1150,
1,2446,1778,1546,5319,
1,2447,145,137,733,
1,2448,307,279,906,
1,2449,252,202,1066,
1,2450,100,94,117,
1,2451,126,126,356,
1,2452,612,612,1893,
1,2453,3693,3591,1847,
1,2454,2401,1832,5310,
1,2455,3180,2901,10486,
1,2456,1569,1412,1144,
1,2457,1021,964,1230,
1,2458,227,179,308,
1,2459,392,347,1662,
1,2460,1811,1753,3700,
1,2461,1788,1622,3508,
1,2462,1373,1373,1350,
1,2463,42,30,346,
1,2464,3249,2670,6415,
1,2465,42,31,146,
1,2466,253,242,596,
1,2467,2351,2174,2554,
1,2468,8327,7502,31484,
1,2469,13486,11256,29663,
1,2470,1162,1094,5155,
1,2471,7435,6845,4554,
1,2472,303,143,1029,
1,2473,8735,7788,27141,
1,2474,66,40,238,
1,2475,1940,1749,4647,
1,2476,8795,6626,16431,
1,2477,843,682,2053,
1,2478,1476,1393,3757,
1,2479,732,400,1566,
1,2480,1564,1089,2515,
1,2481,659,540,991,
1,2482,475,457,7449,
1,2483,10,9,1337,
1,2484,78,62,272,
1,2485,64,38,943,
1,2486,502,379,2682,
1,2487,50,19,28,
1,2488,147,116,1355,
1,2489,1275,988,798,
1,2490,528,528,1898,
1,2491,799,631,2390,
1,2492,19,17,137,
1,2493,1945,1565,3819,
1,2494,479,385,793,
1,2495,4831,4089,9406,
1,2496,223,120,672,
1,2497,172,117,718,
1,2498,28,17,493,
1,2499,523,474,2339,
1,2500,508,305,4148,
1,2501,1218,1196,4410,
1,2502,565,501,1422,
1,2503,21,14,436,
1,2504,218,205,467,
1,2505,2093,1854,5080,
1,2506,2692,2301,813,
1,2507,14,8,296,
1,2508,611,569,2938,
1,2509,316,309,946,
1,2510,1393,1248,11956,
1,2511,6,4,353,
1,2512,1518,1432,6327,
1,2513,2183,2045,5888,
1,2514,10,5,172,
1,2515,248,158,3762,
1,2516,260,238,919,
1,2517,437,391,2845,
1,2518,421,295,811,
1,2519,440,422,2928,
1,2520,646,566,1621,
1,2521,533,392,2634,
1,2522,2219,1969,10201,
1,2523,4538,4538,3277,
1,2524,790,783,19830,
1,2525,768,754,3443,
1,2526,18,5,232,
1,2527,11,7,329,
1,2528,408,406,590,
1,2529,1702,1701,6304,
1,2530,1617,1051,12843,
1,2531,1141,1126,1996,
1,2532,788,602,5609,
1,2533,33,32,308,
1,2534,2954,2556,11421,
1,2535,11744,10850,14920,
1,2536,14224,11797,31940,
1,2537,59,43,339,
1,2538,1416,1377,3223,
1,2539,15,5,176,
1,2540,925,788,1310,
1,2541,322,88,132,
1,2542,249,204,577,
1,2543,509,342,521,
1,2544,1294,1215,37662,
1,2545,48,34,220,
1,2546,38,32,348,
1,2547,787,657,1557,
1,2548,695,636,2307,
1,2549,403,384,966,
1,2550,566,560,16012,
1,2551,329,325,595,
1,2552,92,79,724,
1,2553,695,497,1115,
1,2554,135,135,194,
1,2555,6838,5357,23749,
1,2556,1014,939,2705,
1,2557,31,24,616,
1,2558,736,648,3937,
1,2559,14,11,514,
1,2560,1141,816,5057,
1,2561,500,360,807,
1,2562,316,215,279,
1,2563,905,765,1400,
1,2564,1150,1047,4266,
1,2565,379,258,15201,
1,2566,921,921,1336,
1,2567,45,30,332,
1,2568,218,197,1130,
1,2569,337,283,959,
1,2570,83,79,588,
1,2571,82,62,643,
1,2572,5242,3401,44928,
1,2573,17,9,146,
1,2574,2034,1955,2755,
1,2575,450,423,3203,
1,2576,1347,1282,5513,
1,2577,825,648,6221,
1,2578,384,384,589,
1,2579,34,24,134,
1,2580,165,140,435,
1,2581,518,361,4051,
1,2582,962,855,4963,
1,2583,1013,858,3279,
1,2584,47,36,1018,
1,2585,46,32,7,
1,2586,620,379,3260,
1,2587,538,350,968,
1,2588,389,389,2839,
1,2589,6,6,208,
1,2590,629,469,1335,
1,2591,1318,1181,16046,
1,2592,4194,3715,9901,
1,2593,23,12,5938,
1,2594,1719,1659,868,
1,2595,4337,3594,9214,
1,2596,749,630,2976,
1,2597,910,907,1796,
1,2598,397,324,101575,
1,2599,1766,1305,13366,
1,2600,1147,1081,1725,
1,2601,75,66,72,
1,2602,5,4,230,
1,2603,63,42,120,
1,2604,12,10,149,
1,2605,85,40,365,
1,2606,52,48,148,
1,2607,711,472,2733,
1,2608,4,4,125,
1,2609,1143,891,1333,
1,2610,6,6,74,
1,2611,6,5,91,
1,2612,413,392,1715,
1,2613,868,595,8419,
1,2614,155,136,294,
1,2615,579,399,955,
1,2616,213,171,4910,
1,2617,215,206,18,
1,2618,1211,1141,281,
1,2619,9,5,59,
1,2620,9,9,274,
1,2621,6260,3954,24957,
1,2622,8,1,22,
1,2623,819,335,3584,
1,2624,947,856,2762,
1,2625,86,8,161,
1,2626,26,1,9,
1,2627,9,7,302,
1,2628,548,444,6521,
1,2629,157,133,151,
1,2630,863,855,3010,
1,2631,16,12,103,
1,2632,10,8,81,
1,2633,4611,3419,12568,
1,2634,2278,1891,4622,
1,2635,75,44,345,
1,2636,412,376,12152,
1,2637,18636,16666,16934,
1,2638,548,468,1660,
1,2639,419,237,1652,
1,2640,25,13,117,
1,2641,12,10,167,
1,2642,219,61,290,
1,2643,39,27,204,
1,2644,343,290,1488,
1,2645,3578,2842,5422,
1,2646,703,671,6618,
1,2647,1722,1415,7790,
1,2648,9,9,383,
